1 - loss: 0.44471476137638094, val_loss: 0.44340979158878324
2 - loss: 0.41277102440595625, val_loss: 0.4391199558973312
3 - loss: 0.4024099388718605, val_loss: 0.4139897137880325
5 - loss: 0.39934397280216216, val_loss: 0.39361220598220825
6 - loss: 0.3898945274949074, val_loss: 0.3935474693775177
7 - loss: 0.39060932010412214, val_loss: 0.38200015723705294
9 - loss: 0.3886525586247444, val_loss: 0.3747673392295837
21 - loss: 0.3841765972971916, val_loss: 0.36723228394985197
23 - loss: 0.37674421846866607, val_loss: 0.36016506850719454
27 - loss: 0.37006365656852724, val_loss: 0.353776803612709
36 - loss: 0.3647033530473709, val_loss: 0.34598332941532134
48 - loss: 0.35727865785360335, val_loss: 0.3394227772951126
52 - loss: 0.35999848425388337, val_loss: 0.32838621735572815
54 - loss: 0.36288888663053515, val_loss: 0.3258302301168442
61 - loss: 0.36054709047079087, val_loss: 0.3142504572868347
73 - loss: 0.3480337253212929, val_loss: 0.3134927570819855
86 - loss: 0.3405481640994549, val_loss: 0.31007036864757537
102 - loss: 0.3336820220947266, val_loss: 0.30382815897464754
114 - loss: 0.32857441693544387, val_loss: 0.28918752670288084
117 - loss: 0.32867625802755357, val_loss: 0.2890795812010765
129 - loss: 0.32118601992726326, val_loss: 0.2873719155788422
131 - loss: 0.31754604294896127, val_loss: 0.2840211406350136
141 - loss: 0.3237776950001717, val_loss: 0.2741614654660225
145 - loss: 0.318732185959816, val_loss: 0.2694607928395271
166 - loss: 0.30364298343658447, val_loss: 0.26728282272815707
205 - loss: 0.29317973464727404, val_loss: 0.2586959794163704
236 - loss: 0.278971488326788, val_loss: 0.25731339156627653
245 - loss: 0.2683793194591999, val_loss: 0.2559912666678429
247 - loss: 0.2697651682794094, val_loss: 0.25570379197597504
253 - loss: 0.2716809166967869, val_loss: 0.24895867109298705
283 - loss: 0.26849407464265823, val_loss: 0.23433811962604523
370 - loss: 0.2513041105866432, val_loss: 0.2331318661570549
377 - loss: 0.24838164433836937, val_loss: 0.22797661125659943
389 - loss: 0.2474409084022045, val_loss: 0.2206841453909874
463 - loss: 0.23083114117383957, val_loss: 0.22041352093219757
504 - loss: 0.2360426001250744, val_loss: 0.2201300173997879
509 - loss: 0.2258097729086876, val_loss: 0.219620218873024
528 - loss: 0.22438162237405776, val_loss: 0.21344326734542846
549 - loss: 0.22576792538166046, val_loss: 0.209750933945179
632 - loss: 0.20090527221560478, val_loss: 0.20887662917375566
635 - loss: 0.20991868197917937, val_loss: 0.19967482835054398
677 - loss: 0.21153925240039825, val_loss: 0.19765113294124603
758 - loss: 0.2025105783343315, val_loss: 0.19089774042367935
922 - loss: 0.19048987224698066, val_loss: 0.1907798692584038
982 - loss: 0.19096066884696483, val_loss: 0.1859818682074547
1037 - loss: 0.18637535870075225, val_loss: 0.170951746404171
1135 - loss: 0.17976693883538247, val_loss: 0.17060894519090652
1502 - loss: 0.1632632876932621, val_loss: 0.1663849875330925
1813 - loss: 0.1586108048260212, val_loss: 0.15974511504173278
1991 - loss: 0.14651850767433644, val_loss: 0.15848665162920952
2153 - loss: 0.14537363469600678, val_loss: 0.1536184661090374
2755 - loss: 0.11932710371911526, val_loss: 0.144241376966238
4209 - loss: 0.10809138111770153, val_loss: 0.14353975802659988
7211 - loss: 0.10442856401205063, val_loss: 0.14341406598687173
