1 - loss: 0.44588913321495055, val_loss: 0.4799833744764328
2 - loss: 0.410018795132637, val_loss: 0.4338543742895126
3 - loss: 0.4006173089146614, val_loss: 0.41063601672649386
4 - loss: 0.4018372094631195, val_loss: 0.39496164321899413
5 - loss: 0.39414853274822237, val_loss: 0.3897196531295776
7 - loss: 0.3959818935394287, val_loss: 0.37764073014259336
10 - loss: 0.39094982415437696, val_loss: 0.3729720443487167
19 - loss: 0.3889734011888504, val_loss: 0.35837182998657224
23 - loss: 0.37838600426912306, val_loss: 0.3543653964996338
36 - loss: 0.3639789295196533, val_loss: 0.34607279002666474
51 - loss: 0.362221252322197, val_loss: 0.338988733291626
56 - loss: 0.3615086990594864, val_loss: 0.32983237504959106
63 - loss: 0.3485913610458374, val_loss: 0.31197463870048525
92 - loss: 0.34064913213253023, val_loss: 0.30342385470867156
105 - loss: 0.3264169980585575, val_loss: 0.3023308277130127
107 - loss: 0.32656441688537596, val_loss: 0.29568457752466204
128 - loss: 0.31481399059295656, val_loss: 0.2954658895730972
142 - loss: 0.3111384852230549, val_loss: 0.2950838193297386
144 - loss: 0.3072510735690594, val_loss: 0.2934103339910507
145 - loss: 0.3109942251443863, val_loss: 0.28600371181964873
149 - loss: 0.301003388017416, val_loss: 0.2716226726770401
173 - loss: 0.30558258458971976, val_loss: 0.26974300742149354
183 - loss: 0.2916058857738972, val_loss: 0.26107099950313567
196 - loss: 0.29684260815382, val_loss: 0.2587713897228241
214 - loss: 0.29052398696541787, val_loss: 0.2571393460035324
239 - loss: 0.28132591128349305, val_loss: 0.2500902831554413
240 - loss: 0.27959822297096254, val_loss: 0.2417709082365036
293 - loss: 0.2654009993374348, val_loss: 0.2330000013113022
315 - loss: 0.2594967390596867, val_loss: 0.23026176244020463
324 - loss: 0.2611908647418022, val_loss: 0.22940630912780763
325 - loss: 0.25860428050160406, val_loss: 0.22813024818897248
363 - loss: 0.24699577569961548, val_loss: 0.22450873106718064
367 - loss: 0.25055101364850996, val_loss: 0.2219357118010521
425 - loss: 0.2382015936076641, val_loss: 0.22008117586374282
465 - loss: 0.22925512984395027, val_loss: 0.21120918691158294
471 - loss: 0.23444808512926102, val_loss: 0.2063785120844841
481 - loss: 0.23872336983680725, val_loss: 0.2051243707537651
523 - loss: 0.2305269455909729, val_loss: 0.20330860912799836
543 - loss: 0.2287602074444294, val_loss: 0.20213180631399155
661 - loss: 0.21082749962806702, val_loss: 0.19680707156658173
669 - loss: 0.20857871770858766, val_loss: 0.19589130729436874
748 - loss: 0.2067162337899208, val_loss: 0.19019340276718139
840 - loss: 0.2058512943983078, val_loss: 0.18988219350576402
906 - loss: 0.20190442040562628, val_loss: 0.1880471110343933
923 - loss: 0.184829418733716, val_loss: 0.18589789122343064
951 - loss: 0.18997354820370674, val_loss: 0.18566510528326036
952 - loss: 0.1907674390822649, val_loss: 0.1839112564921379
955 - loss: 0.19494193971157073, val_loss: 0.177849380671978
1031 - loss: 0.187850533798337, val_loss: 0.17570710629224778
1032 - loss: 0.18652865275740624, val_loss: 0.17508638948202132
1152 - loss: 0.18445286870002747, val_loss: 0.1677744284272194
1331 - loss: 0.17537239648401737, val_loss: 0.15492359772324563
2084 - loss: 0.15196793541312217, val_loss: 0.15272570624947548
2564 - loss: 0.14582605563104153, val_loss: 0.15175483375787735
2916 - loss: 0.13741582691669463, val_loss: 0.1480313941836357
2958 - loss: 0.13896858341991902, val_loss: 0.14617205485701562
4224 - loss: 0.1206063086539507, val_loss: 0.14176686927676202
