1 - loss: 1.790015995502472, val_loss: 1.5326661467552185
2 - loss: 1.3740750694274901, val_loss: 1.4219198942184448
3 - loss: 1.3469553899765014, val_loss: 1.32446528673172
4 - loss: 1.3330369532108306, val_loss: 1.2594555854797362
5 - loss: 1.3089721429347991, val_loss: 1.2343083500862122
7 - loss: 1.2986299514770507, val_loss: 1.2063926100730895
11 - loss: 1.2879520058631897, val_loss: 1.17669620513916
20 - loss: 1.2520217609405517, val_loss: 1.1570753097534179
26 - loss: 1.237894195318222, val_loss: 1.1567901968955994
27 - loss: 1.2381863117218017, val_loss: 1.139365816116333
37 - loss: 1.2194558763504029, val_loss: 1.1322402119636537
40 - loss: 1.2161311948299407, val_loss: 1.1262482166290284
50 - loss: 1.203776910305023, val_loss: 1.125081205368042
56 - loss: 1.19991983294487, val_loss: 1.115840482711792
57 - loss: 1.194629876613617, val_loss: 1.0864817023277282
101 - loss: 1.1633724546432496, val_loss: 1.0861519813537597
150 - loss: 1.1250164526700974, val_loss: 1.0857906758785247
157 - loss: 1.1270479440689087, val_loss: 1.0815560281276704
190 - loss: 1.1070109844207763, val_loss: 1.0731437265872956
192 - loss: 1.1175064432621002, val_loss: 1.068341499567032
198 - loss: 1.1130267882347107, val_loss: 1.0561318457126618
249 - loss: 1.091182821393013, val_loss: 1.0434588313102722
280 - loss: 1.082863382101059, val_loss: 1.0383047044277192
281 - loss: 1.0804793435335158, val_loss: 1.032350081205368
298 - loss: 1.0714380639791488, val_loss: 1.0310669004917146
323 - loss: 1.0665703934431077, val_loss: 1.025344008207321
332 - loss: 1.0831492668390275, val_loss: 1.0098654210567475
497 - loss: 1.0292636781930924, val_loss: 1.0026991665363312
555 - loss: 1.015127695798874, val_loss: 1.0006336390972137
556 - loss: 1.0116969871520995, val_loss: 0.988871157169342
680 - loss: 0.9829770904779435, val_loss: 0.9809150993824005
872 - loss: 0.950870549082756, val_loss: 0.9777869582176208
903 - loss: 0.9503299289941788, val_loss: 0.9677145898342132
