1 - loss: 0.2573023368418217, val_loss: 0.2010141134262085
2 - loss: 0.16170959770679474, val_loss: 0.1562975488603115
3 - loss: 0.15053923800587654, val_loss: 0.15366356447339058
4 - loss: 0.14437689736485482, val_loss: 0.10740711241960525
5 - loss: 0.1359940307587385, val_loss: 0.10339839570224285
7 - loss: 0.13333010010421276, val_loss: 0.08789792694151402
14 - loss: 0.12508307598531246, val_loss: 0.08782499134540558
17 - loss: 0.11529815316200256, val_loss: 0.07806670777499676
27 - loss: 0.10658627305179834, val_loss: 0.07764030136168003
36 - loss: 0.10093966569751502, val_loss: 0.07042831443250179
55 - loss: 0.09427698999643326, val_loss: 0.057235471345484255
77 - loss: 0.08509337283670902, val_loss: 0.05574025213718414
78 - loss: 0.07949610069394111, val_loss: 0.055562174692749974
79 - loss: 0.07992843711748719, val_loss: 0.05425238460302353
106 - loss: 0.08134920585900546, val_loss: 0.04459800198674202
115 - loss: 0.0785759642533958, val_loss: 0.036417451687157154
146 - loss: 0.0708384956791997, val_loss: 0.03507356364279986
305 - loss: 0.055052017401903866, val_loss: 0.034578513167798516
363 - loss: 0.04762927234172821, val_loss: 0.02362998793832958
