1 - loss: 0.5633291643857956, val_loss: 0.5099198609590531
2 - loss: 0.4633614507317543, val_loss: 0.4884149432182312
4 - loss: 0.41271226286888124, val_loss: 0.42167076766490935
5 - loss: 0.3891429248452187, val_loss: 0.42102024853229525
6 - loss: 0.37101941198110583, val_loss: 0.3968391835689545
7 - loss: 0.3670939776301384, val_loss: 0.3823564201593399
11 - loss: 0.3471629574894905, val_loss: 0.37052702009677885
14 - loss: 0.3367259940505028, val_loss: 0.353387650847435
16 - loss: 0.3359898257255554, val_loss: 0.3528300940990448
19 - loss: 0.3225309470295906, val_loss: 0.3491761893033981
34 - loss: 0.3085260859131813, val_loss: 0.33615786731243136
36 - loss: 0.3030334156751633, val_loss: 0.3270263195037842
52 - loss: 0.2874931439757347, val_loss: 0.32396621704101564
57 - loss: 0.28830700427293776, val_loss: 0.3203412741422653
58 - loss: 0.2825399194657803, val_loss: 0.3109030395746231
68 - loss: 0.2800284621119499, val_loss: 0.303262385725975
79 - loss: 0.26759024918079377, val_loss: 0.2999445617198944
97 - loss: 0.26705979704856875, val_loss: 0.29690745770931243
123 - loss: 0.25394737243652343, val_loss: 0.2863606885075569
133 - loss: 0.2530509157478809, val_loss: 0.2766576811671257
219 - loss: 0.2250777278840542, val_loss: 0.2747893512248993
238 - loss: 0.21723682790994644, val_loss: 0.2712882772088051
239 - loss: 0.22184454753994942, val_loss: 0.26418140828609465
260 - loss: 0.21054689437150956, val_loss: 0.25354245901107786
325 - loss: 0.20162301048636436, val_loss: 0.25044954419136045
348 - loss: 0.20245045632123948, val_loss: 0.24167760014533995
431 - loss: 0.18636658817529678, val_loss: 0.2405008018016815
503 - loss: 0.16995698370039464, val_loss: 0.23161840587854385
531 - loss: 0.1786664493381977, val_loss: 0.22976150810718537
778 - loss: 0.15120191179215908, val_loss: 0.22599425315856933
899 - loss: 0.14072198547422887, val_loss: 0.20536106675863267
