1 - loss: 0.4251953089237213, val_loss: 0.3546333521604538
2 - loss: 0.3305238974094391, val_loss: 0.3545794904232025
3 - loss: 0.32072331354022027, val_loss: 0.3058315932750702
4 - loss: 0.296982179582119, val_loss: 0.25739087015390394
5 - loss: 0.2843403559923172, val_loss: 0.2539316460490227
6 - loss: 0.27384634971618654, val_loss: 0.21624666899442674
15 - loss: 0.22806703492999078, val_loss: 0.19812474101781846
16 - loss: 0.22109394162893295, val_loss: 0.18810698091983796
18 - loss: 0.2117268945276737, val_loss: 0.1751951038837433
29 - loss: 0.19049284517765044, val_loss: 0.17060757130384446
38 - loss: 0.17743278183043004, val_loss: 0.14831048399209976
54 - loss: 0.16822892792522906, val_loss: 0.14816545844078063
60 - loss: 0.1621145636588335, val_loss: 0.14130015969276427
66 - loss: 0.16254991941154004, val_loss: 0.13904580548405648
69 - loss: 0.1601332227885723, val_loss: 0.1339094780385494
71 - loss: 0.14926662094891072, val_loss: 0.13341872096061708
78 - loss: 0.14735744066536427, val_loss: 0.13254135102033615
79 - loss: 0.1448785649985075, val_loss: 0.11781674399971961
94 - loss: 0.1410784524679184, val_loss: 0.11277497261762619
133 - loss: 0.12195430047810078, val_loss: 0.11033356189727783
145 - loss: 0.11228219762444497, val_loss: 0.10270558670163155
151 - loss: 0.11701826080679893, val_loss: 0.10030720569193363
166 - loss: 0.11064539313316345, val_loss: 0.09533899128437043
169 - loss: 0.1075613109394908, val_loss: 0.09104919396340846
