1 - loss: 0.3155856095254421, val_loss: 0.18521401882171631
4 - loss: 0.19222452387213707, val_loss: 0.17315597981214523
6 - loss: 0.18625412568449973, val_loss: 0.15251562744379044
7 - loss: 0.18114925272762775, val_loss: 0.1379929207265377
11 - loss: 0.1744252298772335, val_loss: 0.1348509334027767
13 - loss: 0.16313467159867287, val_loss: 0.13123489320278167
18 - loss: 0.15375304274260998, val_loss: 0.12999423667788507
27 - loss: 0.15077014394104482, val_loss: 0.11630355790257454
41 - loss: 0.14393795013427735, val_loss: 0.10703851357102394
51 - loss: 0.13643830217421055, val_loss: 0.09996951036155224
54 - loss: 0.14168771155178547, val_loss: 0.09896994158625602
63 - loss: 0.13215457566082478, val_loss: 0.09761698544025421
66 - loss: 0.1351958282291889, val_loss: 0.0942730437964201
79 - loss: 0.12462664071470499, val_loss: 0.08021945767104625
140 - loss: 0.11296215560287237, val_loss: 0.07795385979115962
182 - loss: 0.10663248024880886, val_loss: 0.07634527124464512
193 - loss: 0.10350512869656087, val_loss: 0.07540634274482727
229 - loss: 0.10027382850646972, val_loss: 0.0656935904175043
325 - loss: 0.09747207701206208, val_loss: 0.06157554797828198
438 - loss: 0.09279458474367858, val_loss: 0.06079667527228594
462 - loss: 0.08744580689817667, val_loss: 0.0547791238874197
730 - loss: 0.07957147095352411, val_loss: 0.05315675213932991
743 - loss: 0.08511074129492044, val_loss: 0.050615204870700835
981 - loss: 0.08029189258813858, val_loss: 0.04938731715083122
