1 - loss: 5.095633387565613, val_loss: 2.8947340488433837
2 - loss: 2.0610419034957888, val_loss: 1.1847437262535094
3 - loss: 0.9592300415039062, val_loss: 0.7628085911273956
4 - loss: 0.7502565562725068, val_loss: 0.7146519899368287
5 - loss: 0.6995451986789704, val_loss: 0.706579041481018
6 - loss: 0.7086384117603302, val_loss: 0.6968739748001098
7 - loss: 0.6917214751243591, val_loss: 0.6912573397159576
8 - loss: 0.6939328193664551, val_loss: 0.6900647282600403
9 - loss: 0.6933209896087646, val_loss: 0.687449049949646
12 - loss: 0.6860314726829528, val_loss: 0.6862709820270538
13 - loss: 0.6865874171257019, val_loss: 0.6841285943984985
16 - loss: 0.6834635019302369, val_loss: 0.6835197985172272
18 - loss: 0.6858191132545471, val_loss: 0.6821789801120758
20 - loss: 0.6842331051826477, val_loss: 0.6813559532165527
21 - loss: 0.6815914511680603, val_loss: 0.681210458278656
22 - loss: 0.6849079549312591, val_loss: 0.6802322745323182
23 - loss: 0.6815815687179565, val_loss: 0.6799969136714935
24 - loss: 0.67995765209198, val_loss: 0.6791662037372589
26 - loss: 0.680630338191986, val_loss: 0.6784324526786805
27 - loss: 0.6806715548038482, val_loss: 0.678373110294342
28 - loss: 0.679542726278305, val_loss: 0.6779318213462829
29 - loss: 0.6805856645107269, val_loss: 0.6777856528759003
30 - loss: 0.6785172522068024, val_loss: 0.6774017691612244
31 - loss: 0.6773956298828125, val_loss: 0.675649780035019
33 - loss: 0.6780832767486572, val_loss: 0.6754659473896026
35 - loss: 0.6754942059516906, val_loss: 0.6749931156635285
36 - loss: 0.6763079464435577, val_loss: 0.674815046787262
39 - loss: 0.6755889177322387, val_loss: 0.673973947763443
41 - loss: 0.6745726346969605, val_loss: 0.6739133715629577
42 - loss: 0.6737007796764374, val_loss: 0.6728114366531373
43 - loss: 0.6743744611740112, val_loss: 0.6725916624069214
44 - loss: 0.67234907746315, val_loss: 0.6717446327209473
46 - loss: 0.6731832265853882, val_loss: 0.671541953086853
47 - loss: 0.6725028991699219, val_loss: 0.6709432244300843
50 - loss: 0.6719282925128937, val_loss: 0.6704692363739013
51 - loss: 0.6708560526371002, val_loss: 0.6698055028915405
54 - loss: 0.6706452131271362, val_loss: 0.6693457186222076
57 - loss: 0.6693070709705353, val_loss: 0.6682449221611023
60 - loss: 0.6704846560955048, val_loss: 0.6672948837280274
61 - loss: 0.6669664919376374, val_loss: 0.6671834111213684
62 - loss: 0.6675013065338135, val_loss: 0.6669226229190827
63 - loss: 0.6678332626819611, val_loss: 0.6662743806838989
64 - loss: 0.6662582993507385, val_loss: 0.6662502825260163
65 - loss: 0.6661868214607238, val_loss: 0.6658746778964997
67 - loss: 0.6652965903282165, val_loss: 0.6655533134937286
68 - loss: 0.6661415576934815, val_loss: 0.6637732326984406
75 - loss: 0.6630395889282227, val_loss: 0.6633398234844208
77 - loss: 0.6619176626205444, val_loss: 0.6628858745098114
78 - loss: 0.6615435540676117, val_loss: 0.6615306854248046
79 - loss: 0.6615422964096069, val_loss: 0.6610977530479432
83 - loss: 0.661040210723877, val_loss: 0.660493278503418
84 - loss: 0.6605202436447144, val_loss: 0.6601993322372437
86 - loss: 0.6643010795116424, val_loss: 0.6597342133522034
87 - loss: 0.6583968460559845, val_loss: 0.659274673461914
89 - loss: 0.6582887768745422, val_loss: 0.6592301487922668
90 - loss: 0.6579609751701355, val_loss: 0.6579078376293183
91 - loss: 0.6576077997684479, val_loss: 0.6577657878398895
93 - loss: 0.6568980813026428, val_loss: 0.6568511664867401
94 - loss: 0.6560665428638458, val_loss: 0.6566016912460327
95 - loss: 0.6562811255455017, val_loss: 0.6554234087467193
96 - loss: 0.6557645201683044, val_loss: 0.6553023636341095
97 - loss: 0.6557003021240234, val_loss: 0.6548461794853211
99 - loss: 0.6544587314128876, val_loss: 0.6543140232563018
102 - loss: 0.6535952687263489, val_loss: 0.6539182245731354
103 - loss: 0.6531810402870178, val_loss: 0.6537393212318421
105 - loss: 0.6524262249469757, val_loss: 0.6522774755954742
106 - loss: 0.6512033998966217, val_loss: 0.6511894702911377
107 - loss: 0.6524897933006286, val_loss: 0.6507705688476563
108 - loss: 0.6511595487594605, val_loss: 0.6506672501564026
113 - loss: 0.6500564754009247, val_loss: 0.6504099488258361
114 - loss: 0.6502085864543915, val_loss: 0.6498542129993439
117 - loss: 0.6482230961322785, val_loss: 0.6485030949115753
121 - loss: 0.6470438301563263, val_loss: 0.6473049521446228
126 - loss: 0.6470972001552582, val_loss: 0.6466539740562439
129 - loss: 0.6459344744682312, val_loss: 0.6466436922550202
131 - loss: 0.645466822385788, val_loss: 0.6456080853939057
133 - loss: 0.6451780319213867, val_loss: 0.644986367225647
134 - loss: 0.6442346096038818, val_loss: 0.6447902977466583
135 - loss: 0.6426369726657868, val_loss: 0.6434403598308563
144 - loss: 0.6413196802139283, val_loss: 0.6418888390064239
146 - loss: 0.641657042503357, val_loss: 0.6415273785591126
149 - loss: 0.6403594970703125, val_loss: 0.6410439372062683
150 - loss: 0.6384012699127197, val_loss: 0.640642249584198
151 - loss: 0.6388174653053283, val_loss: 0.6391669392585755
154 - loss: 0.6382194519042969, val_loss: 0.6391552329063416
156 - loss: 0.6374441027641297, val_loss: 0.6378668010234833
157 - loss: 0.6373125493526459, val_loss: 0.6377066195011138
160 - loss: 0.6353785574436188, val_loss: 0.636573725938797
161 - loss: 0.6355219721794129, val_loss: 0.636388772726059
162 - loss: 0.6346846997737885, val_loss: 0.6362800240516663
164 - loss: 0.6342916548252105, val_loss: 0.6349579095840454
168 - loss: 0.6324537754058838, val_loss: 0.6342699468135834
173 - loss: 0.6317946970462799, val_loss: 0.632237708568573
175 - loss: 0.6326687812805176, val_loss: 0.6319779038429261
176 - loss: 0.6294938325881958, val_loss: 0.630607682466507
178 - loss: 0.6316641449928284, val_loss: 0.6305015087127686
181 - loss: 0.6295308172702789, val_loss: 0.6304524719715119
183 - loss: 0.6292190194129944, val_loss: 0.6289912521839142
189 - loss: 0.627370411157608, val_loss: 0.6287757456302643
191 - loss: 0.6266811728477478, val_loss: 0.6282539665699005
193 - loss: 0.6273793876171112, val_loss: 0.6271388709545136
194 - loss: 0.6239523649215698, val_loss: 0.6268110394477844
195 - loss: 0.624067622423172, val_loss: 0.6263799428939819
196 - loss: 0.6234928429126739, val_loss: 0.6249907970428467
198 - loss: 0.6248829603195191, val_loss: 0.6243191003799439
199 - loss: 0.6242563486099243, val_loss: 0.6237793087959289
202 - loss: 0.6225217580795288, val_loss: 0.621978509426117
205 - loss: 0.6200400233268738, val_loss: 0.6216141819953919
207 - loss: 0.6212105214595794, val_loss: 0.6212195515632629
208 - loss: 0.6196991920471191, val_loss: 0.620351254940033
215 - loss: 0.6176171064376831, val_loss: 0.6195847272872925
218 - loss: 0.6166769981384277, val_loss: 0.6183401584625244
223 - loss: 0.615438449382782, val_loss: 0.6164786636829376
225 - loss: 0.6165666222572327, val_loss: 0.6157929420471191
230 - loss: 0.614631986618042, val_loss: 0.6152990639209748
232 - loss: 0.613692557811737, val_loss: 0.6146835327148438
237 - loss: 0.6141942501068115, val_loss: 0.6134787440299988
239 - loss: 0.6115375995635987, val_loss: 0.6132162868976593
243 - loss: 0.6098621428012848, val_loss: 0.6124914884567261
244 - loss: 0.6103218734264374, val_loss: 0.6110496580600738
251 - loss: 0.6041481018066406, val_loss: 0.610943740606308
254 - loss: 0.6042452156543732, val_loss: 0.6104193210601807
255 - loss: 0.6056749403476716, val_loss: 0.6098468363285064
256 - loss: 0.6068138182163239, val_loss: 0.6096604585647583
257 - loss: 0.6062283992767334, val_loss: 0.6071402549743652
258 - loss: 0.6043250739574433, val_loss: 0.6052889049053192
266 - loss: 0.6033302128314972, val_loss: 0.6042558908462524
271 - loss: 0.6012339234352112, val_loss: 0.6030775785446167
274 - loss: 0.597416204214096, val_loss: 0.6030304074287415
275 - loss: 0.5996546804904938, val_loss: 0.6029381155967712
276 - loss: 0.5984368562698364, val_loss: 0.6028550505638123
277 - loss: 0.5983174920082093, val_loss: 0.601556807756424
280 - loss: 0.5968066573143005, val_loss: 0.5999509811401367
287 - loss: 0.5975812435150146, val_loss: 0.5985526025295258
296 - loss: 0.5947017550468445, val_loss: 0.5984559178352356
298 - loss: 0.593620216846466, val_loss: 0.5979044437408447
299 - loss: 0.5935078978538513, val_loss: 0.5975556135177612
302 - loss: 0.5920598566532135, val_loss: 0.593382328748703
311 - loss: 0.5892720997333527, val_loss: 0.5932378590106964
315 - loss: 0.5868640601634979, val_loss: 0.5931531012058258
316 - loss: 0.5877353191375733, val_loss: 0.5916417241096497
320 - loss: 0.5875782608985901, val_loss: 0.5906495690345764
324 - loss: 0.5839191794395446, val_loss: 0.5873839139938355
334 - loss: 0.5808335542678833, val_loss: 0.5871734082698822
340 - loss: 0.5855859518051147, val_loss: 0.5869111597537995
341 - loss: 0.5802532136440277, val_loss: 0.5868448734283447
343 - loss: 0.5771416485309601, val_loss: 0.5844516575336456
347 - loss: 0.5770352184772491, val_loss: 0.5832556009292602
353 - loss: 0.5776987493038177, val_loss: 0.581949245929718
354 - loss: 0.5801663756370544, val_loss: 0.5802626729011535
368 - loss: 0.5722375810146332, val_loss: 0.5782008409500122
371 - loss: 0.5706095576286316, val_loss: 0.5756590604782105
375 - loss: 0.5717772603034973, val_loss: 0.5735616445541382
389 - loss: 0.5700907170772552, val_loss: 0.5697761058807373
401 - loss: 0.5645043909549713, val_loss: 0.5664417266845703
410 - loss: 0.566035270690918, val_loss: 0.5655486106872558
412 - loss: 0.5641129314899445, val_loss: 0.5652207136154175
413 - loss: 0.5639453411102295, val_loss: 0.5649792551994324
420 - loss: 0.5604214072227478, val_loss: 0.5600187182426453
439 - loss: 0.5501116454601288, val_loss: 0.5580850601196289
448 - loss: 0.5535198867321014, val_loss: 0.5569450080394744
452 - loss: 0.5533954262733459, val_loss: 0.5532731533050537
466 - loss: 0.5474681973457336, val_loss: 0.5512081265449524
474 - loss: 0.5449256241321564, val_loss: 0.5504398047924042
485 - loss: 0.5411526203155518, val_loss: 0.5489053428173065
492 - loss: 0.5404958844184875, val_loss: 0.548071664571762
494 - loss: 0.5445292294025421, val_loss: 0.5477861702442169
499 - loss: 0.5372894883155823, val_loss: 0.5427291631698609
508 - loss: 0.540942496061325, val_loss: 0.541161733865738
523 - loss: 0.529816734790802, val_loss: 0.5408726930618286
524 - loss: 0.5395254194736481, val_loss: 0.5387102723121643
528 - loss: 0.536203408241272, val_loss: 0.5377172112464905
535 - loss: 0.5311673641204834, val_loss: 0.534321129322052
546 - loss: 0.5304368913173676, val_loss: 0.534143716096878
548 - loss: 0.5286953389644623, val_loss: 0.5324886202812195
558 - loss: 0.5262633740901947, val_loss: 0.5320390343666077
561 - loss: 0.524480527639389, val_loss: 0.5315252125263215
575 - loss: 0.5258366942405701, val_loss: 0.527390432357788
586 - loss: 0.5187402129173279, val_loss: 0.5257199823856353
587 - loss: 0.520594722032547, val_loss: 0.5254990875720977
591 - loss: 0.5153964996337891, val_loss: 0.5246581315994263
596 - loss: 0.520986670255661, val_loss: 0.5245148241519928
