1 - loss: 5.085650300979614, val_loss: 3.753913426399231
2 - loss: 3.933840854167938, val_loss: 3.4880485057830812
3 - loss: 3.6485850048065185, val_loss: 3.340055537223816
4 - loss: 3.563578860759735, val_loss: 3.326584315299988
5 - loss: 3.4686346673965454, val_loss: 3.071886944770813
6 - loss: 3.4062712216377258, val_loss: 2.9620511293411256
7 - loss: 3.3302384924888613, val_loss: 2.9571070432662965
8 - loss: 3.338463032245636, val_loss: 2.9251933336257934
9 - loss: 3.3083443069458007, val_loss: 2.882000684738159
11 - loss: 3.2381349754333497, val_loss: 2.7872260332107546
22 - loss: 3.086328127384186, val_loss: 2.753321385383606
37 - loss: 3.0079748153686525, val_loss: 2.644363856315613
61 - loss: 2.912930727005005, val_loss: 2.6286274194717407
88 - loss: 2.8853858494758606, val_loss: 2.6243438720703125
121 - loss: 2.7889049792289735, val_loss: 2.6231635332107546
127 - loss: 2.7930723547935488, val_loss: 2.6153515100479128
131 - loss: 2.7497659158706664, val_loss: 2.5608154058456423
154 - loss: 2.7001933550834654, val_loss: 2.5314467668533327
157 - loss: 2.7272884392738344, val_loss: 2.489778661727905
236 - loss: 2.6280976247787478, val_loss: 2.478924036026001
242 - loss: 2.5918582820892335, val_loss: 2.4370664596557616
262 - loss: 2.608894202709198, val_loss: 2.4311208486557008
281 - loss: 2.561645803451538, val_loss: 2.3663394927978514
348 - loss: 2.4977281880378723, val_loss: 2.3640243291854857
358 - loss: 2.474440624713898, val_loss: 2.345182251930237
414 - loss: 2.4188616609573366, val_loss: 2.320547032356262
418 - loss: 2.4357299315929413, val_loss: 2.3168189764022826
450 - loss: 2.4109097790718077, val_loss: 2.2691179156303405
480 - loss: 2.4190855407714844, val_loss: 2.261777472496033
495 - loss: 2.367006368637085, val_loss: 2.2470119476318358
507 - loss: 2.3587941670417787, val_loss: 2.222098684310913
599 - loss: 2.3090795350074766, val_loss: 2.218895411491394
617 - loss: 2.2945485413074493, val_loss: 2.204816496372223
662 - loss: 2.2594936978816986, val_loss: 2.193487811088562
667 - loss: 2.230163069963455, val_loss: 2.186654472351074
668 - loss: 2.2525169789791106, val_loss: 2.1307766795158387
729 - loss: 2.179663017988205, val_loss: 2.094640111923218
935 - loss: 2.098500403165817, val_loss: 2.0803980946540834
1057 - loss: 2.0468549847602846, val_loss: 2.0514240145683287
1278 - loss: 1.9191561031341553, val_loss: 2.047746181488037
1328 - loss: 1.9367744851112365, val_loss: 2.0390182971954345
1360 - loss: 1.921541806459427, val_loss: 2.0184790015220644
1367 - loss: 1.9383403825759888, val_loss: 2.0181426763534547
1389 - loss: 1.8938858461380006, val_loss: 2.0162875056266785
1569 - loss: 1.8509217178821564, val_loss: 2.0072564482688904
1605 - loss: 1.7962756669521331, val_loss: 1.9973622679710388
1680 - loss: 1.7815759098529815, val_loss: 1.9939120888710022
1958 - loss: 1.758346232175827, val_loss: 1.9781630516052247
2132 - loss: 1.689744222164154, val_loss: 1.9619000673294067
2587 - loss: 1.5874311769008635, val_loss: 1.946174967288971
2746 - loss: 1.5716627931594849, val_loss: 1.912427008152008
3314 - loss: 1.4406462228298187, val_loss: 1.9095542788505555
3407 - loss: 1.4284161972999572, val_loss: 1.909048581123352
3697 - loss: 1.3956210649013518, val_loss: 1.9031707167625427
4172 - loss: 1.3791164362430572, val_loss: 1.8719881892204284
4319 - loss: 1.3523477220535278, val_loss: 1.870277500152588
5449 - loss: 1.328867222070694, val_loss: 1.8590377807617187
