1 - loss: 5.0643264985084535, val_loss: 4.013460183143616
2 - loss: 3.8348624014854433, val_loss: 3.4746604681015016
3 - loss: 3.6018913102149965, val_loss: 3.374993014335632
4 - loss: 3.4885443949699404, val_loss: 3.257598638534546
5 - loss: 3.3608037853240966, val_loss: 3.0922871828079224
7 - loss: 3.270178973674774, val_loss: 2.980002689361572
9 - loss: 3.225869719982147, val_loss: 2.9595338821411135
10 - loss: 3.2042916107177732, val_loss: 2.8786128997802733
11 - loss: 3.206291160583496, val_loss: 2.8351816177368163
18 - loss: 3.0586931562423705, val_loss: 2.767983627319336
22 - loss: 3.0277551221847534, val_loss: 2.749202823638916
31 - loss: 2.965187175273895, val_loss: 2.6572124481201174
49 - loss: 2.9225969076156617, val_loss: 2.6381686687469483
50 - loss: 2.904604399204254, val_loss: 2.576595735549927
64 - loss: 2.9030139231681824, val_loss: 2.5760555028915406
76 - loss: 2.8723324656486513, val_loss: 2.5698688507080076
88 - loss: 2.849185254573822, val_loss: 2.5610554456710815
91 - loss: 2.825175790786743, val_loss: 2.547565460205078
102 - loss: 2.7730956292152404, val_loss: 2.5401613473892213
112 - loss: 2.815412495136261, val_loss: 2.5307470083236696
118 - loss: 2.7922431945800783, val_loss: 2.488410401344299
125 - loss: 2.758932855129242, val_loss: 2.418859601020813
149 - loss: 2.726261339187622, val_loss: 2.417348527908325
174 - loss: 2.686449472904205, val_loss: 2.365658736228943
201 - loss: 2.662097613811493, val_loss: 2.3601085901260377
213 - loss: 2.650005829334259, val_loss: 2.3579617500305177
226 - loss: 2.6407079100608826, val_loss: 2.350854682922363
250 - loss: 2.60905868768692, val_loss: 2.2756550788879393
288 - loss: 2.5887214088439943, val_loss: 2.2600197553634644
305 - loss: 2.5601423358917237, val_loss: 2.2521069288253783
341 - loss: 2.5117494010925294, val_loss: 2.231559419631958
350 - loss: 2.518602590560913, val_loss: 2.220982587337494
367 - loss: 2.4760548663139343, val_loss: 2.1703799962997437
469 - loss: 2.4009057593345644, val_loss: 2.1308816194534304
595 - loss: 2.308515043258667, val_loss: 2.11048264503479
673 - loss: 2.2355784499645233, val_loss: 2.075944745540619
725 - loss: 2.2257275688648224, val_loss: 2.061349558830261
980 - loss: 2.0941678428649904, val_loss: 2.032088601589203
1193 - loss: 2.038992338180542, val_loss: 2.0192421555519102
1327 - loss: 1.983198779821396, val_loss: 1.987275493144989
1683 - loss: 1.8791320288181306, val_loss: 1.9599313139915466
1791 - loss: 1.870420080423355, val_loss: 1.9575700879096984
1834 - loss: 1.8574851095676421, val_loss: 1.947724711894989
1960 - loss: 1.8154038488864899, val_loss: 1.945910346508026
2137 - loss: 1.7660873985290528, val_loss: 1.9013279318809508
2375 - loss: 1.7121802175045013, val_loss: 1.8983586192131043
2521 - loss: 1.711710125207901, val_loss: 1.8957008838653564
2775 - loss: 1.6652439975738524, val_loss: 1.8736453652381897
3123 - loss: 1.601063051223755, val_loss: 1.858376693725586
3339 - loss: 1.5777350044250489, val_loss: 1.8543403387069701
3692 - loss: 1.5642184948921203, val_loss: 1.8289355278015136
