1 - loss: 2.5864107608795166, val_loss: 2.0142059087753297
2 - loss: 2.0795185375213623, val_loss: 1.818139123916626
3 - loss: 2.029722362756729, val_loss: 1.8124309301376342
4 - loss: 1.9846295320987701, val_loss: 1.770191752910614
5 - loss: 1.9823583352565766, val_loss: 1.7570754647254945
10 - loss: 1.9272300517559051, val_loss: 1.6949039101600647
12 - loss: 1.9140257465839385, val_loss: 1.67733736038208
13 - loss: 1.9147503757476807, val_loss: 1.6712438702583312
18 - loss: 1.867961323261261, val_loss: 1.6259063601493835
36 - loss: 1.8563922917842866, val_loss: 1.594486403465271
47 - loss: 1.8173660826683045, val_loss: 1.5739959478378296
50 - loss: 1.829565291404724, val_loss: 1.5211741209030152
112 - loss: 1.7713231444358826, val_loss: 1.5028979182243347
161 - loss: 1.762370707988739, val_loss: 1.4868541479110717
177 - loss: 1.7170236527919769, val_loss: 1.471994435787201
181 - loss: 1.7463395726680755, val_loss: 1.468672800064087
197 - loss: 1.7266206991672517, val_loss: 1.4120465993881226
241 - loss: 1.7405524635314942, val_loss: 1.3914685487747191
454 - loss: 1.671628315448761, val_loss: 1.3820292115211488
704 - loss: 1.62482262134552, val_loss: 1.3737884759902954
800 - loss: 1.5891489219665527, val_loss: 1.3724780559539795
826 - loss: 1.604619598388672, val_loss: 1.354320800304413
1035 - loss: 1.563169778585434, val_loss: 1.3427664399147035
1061 - loss: 1.5558004295825958, val_loss: 1.324459159374237
1531 - loss: 1.5402498042583466, val_loss: 1.3002057313919066
1614 - loss: 1.5307891047000886, val_loss: 1.2991783261299132
1640 - loss: 1.5331356227397919, val_loss: 1.2932623505592347
2815 - loss: 1.5146012175083161, val_loss: 1.2780094504356385
4365 - loss: 1.521930046081543, val_loss: 1.2721041679382323
